frame,timestamp,posX,posY,posZ,roll,pitch,yaw,l_arm_shoulder_pitch_joint,l_arm_shoulder_roll_joint,l_arm_shoulder_yaw_joint,l_arm_elbow_joint,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_joint,r_arm_shoulder_pitch_joint,r_arm_shoulder_roll_joint,r_arm_shoulder_yaw_joint,r_arm_elbow_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_joint
1.0,0.1219937801361084,-1.4487731792431233,0.0354740750333736,0.658308388124277,-0.07312555672721269,0.02121248188972614,-0.10894522536871512,-0.12176088135058867,3.557816265947148e-05,-0.006906362942747165,-0.1870199682079395,-0.003116900542524446,-0.0431509519658346,-0.012661068472566126,0.39569266801385017,-0.19891165860192564,0.026537749245135012,-4.9774662861253125e-05,-0.029680787948141017,-0.1231804674774232,0.06829941143368451,0.03417611177638465,0.36947297195754686,0.7439020574904291,-0.20168596378562142
2.0,0.1452651023864746,-1.4263377066038532,0.03879729335927397,0.6527776970679916,-0.11873864849281006,-0.15720337297629564,-0.13546760177460598,-0.21077137993378536,1.0078783105776684e-05,-0.026235214851135814,-0.32491579853769803,0.022783437535631126,-0.04532792139387541,0.2145922626773866,0.49122093916309345,-0.19926051597057814,0.04014556165958419,-1.1020724807515696e-05,-0.04435339020957686,-0.1938533436225082,0.11257032844273403,0.06478166828402421,0.43915423497471945,0.9806262165590817,-0.20443348718882876
3.0,0.16729402542114258,-1.3811412045273015,0.04017700646350528,0.6481176142034767,-0.1674941336970936,-0.2549681033165749,-0.1651091400667211,-0.2646186253187227,1.0508390920695718e-05,-0.049253540129865,-0.4223676160457731,0.053442942474287505,-0.031161525308630478,0.4450768826597043,0.5116125257387121,-0.20090742817229384,0.06494246689145727,-1.1576412774099527e-05,-0.045304104538768604,-0.2320347044285405,0.15281797423332166,0.10560583731833553,0.3970386846128889,1.1354949965771008,-0.20712989891263997
4.0,0.19329500198364258,-1.3775840179077472,0.03972463891988602,0.6507212672965617,-0.16819822935738554,-0.22623562962557228,-0.16804058980730957,-0.25769935036982566,1.2722072998337993e-05,-0.04885271860560489,-0.4081362197350579,0.05407332659316627,-0.02695832414969164,0.4298374307516184,0.4781033304679065,-0.20130642796177567,0.06413717534546251,-1.4731796813076307e-05,-0.03858219450272521,-0.22367891329109746,0.15368498016956705,0.10810317268104719,0.3571993554945558,1.107489935990555,-0.20683368581546172
5.0,0.2185368537902832,-1.3303369058374432,0.04063896982189203,0.6551946819258532,-0.19979411133096797,-0.2649711713527002,-0.19351436988111737,-0.30695853341874,1.0065358171823973e-05,-0.059851912151656195,-0.46309828574482975,0.0702637347637548,-0.01916230546753666,0.5726900673912707,0.4661427964247157,-0.20263779028607104,0.07648322057049523,-1.0598387461714337e-05,-0.029865870880106317,-0.24584813862420218,0.18327048589545178,0.134082385017499,0.2638718833692712,1.17759053521704,-0.20753525054718303
6.0,0.2514519691467285,-1.2796291904958523,0.04110357463485004,0.66269221500536,-0.22569061436620763,-0.2730969240838163,-0.21952845654204578,-0.3537136645125429,1.0052070786643943e-05,-0.0680187199133548,-0.5037490664022127,0.08270149128036919,-0.013234747093829834,0.6866677222816719,0.432430165142037,-0.20411202343565557,0.08283406448580954,-1.046425924903541e-05,-0.012334214183963754,-0.2634933446681586,0.2132279716363117,0.15443200853635156,0.13190429358191652,1.211762965854573,-0.20750262488980323
7.0,0.2798793315887451,-1.2278097171790479,0.04128151364146868,0.6738414179414192,-0.23841936608273626,-0.2520440180053042,-0.24153659986521217,-0.4013726278584645,1.0338019889362636e-05,-0.07330425050991755,-0.537829139019337,0.08991867293980418,-0.014207924941273514,0.7448072184437464,0.4022653660765856,-0.20557030102919593,0.08240528450662084,-1.0774381631934834e-05,0.013669762999004732,-0.28365252067377644,0.24252978582510926,0.16179526340387124,-0.03279014307767452,1.2147861210832838,-0.20659484210117635
8.0,0.3071112632751465,-1.1748232522832602,0.04128591630074027,0.6860870431933718,-0.24002959496437964,-0.21453477376569993,-0.25997135728031295,-0.44957260733169724,1.0714284749240254e-05,-0.07727162743208932,-0.5698294179155708,0.09097722330930232,-0.021675930634787333,0.7694808286164108,0.37483353112303974,-0.20699331483224004,0.07580755350897278,-1.137180889901554e-05,0.0478717749802513,-0.3087650393121311,0.2706347898964195,0.15639482446390632,-0.20930340066648562,1.1935683334945666,-0.2048842883467468
9.0,0.33277177810668945,-1.1205626497830834,0.04106801113379184,0.6970305659839212,-0.23479748996308064,-0.17100122076647972,-0.27588750868225526,-0.49549204139964087,1.1099143580643695e-05,-0.08206676303087915,-0.6030669508031263,0.0866232891458456,-0.03314128998489707,0.779823813074328,0.34667315274696986,-0.20844063507259114,0.0662214818791831,-1.2375173972555943e-05,0.090044877597967,-0.33967340280488156,0.2971878470628385,0.14226942748532875,-0.38109425681911896,1.1553944427788594,-0.2025186508244453
10.0,0.36251282691955566,-1.0642068856425202,0.04075258580147713,0.7057472923409913,-0.22356570935721032,-0.12355644766587867,-0.2887561391456134,-0.5381052451280856,1.1318123796889141e-05,-0.08683350300956838,-0.6347535132450545,0.07554722374662035,-0.04865966863943849,0.7799749192679872,0.3180372667351102,-0.20989032977606603,0.0557593157958664,-1.3274363928062835e-05,0.13711167994926265,-0.37432856610753695,0.31884378243650335,0.1213575784297708,-0.536365999931474,1.0986347650214086,-0.19948121403581637
